                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62729,                 3.0489,                 1.0978,                0.00345,                 0.9875,                0.18346,                0.11333,                0.85931,                 3.8732,                 1.2442,              0.0002125,              0.0002125,              0.0002125
                      2,                0.59948,                   2.32,                 1.0575,                0.15315,                0.43553,                0.24649,                0.13882,                0.90695,                 3.5591,                 1.3616,             0.00042017,             0.00042017,             0.00042017
                      3,                0.60206,                 2.0934,                 1.0416,                0.21245,                0.40592,                 0.2535,                0.14417,                0.96309,                 3.3659,                 1.4691,             0.00061003,             0.00061003,             0.00061003
                      4,                0.60354,                 2.0137,                 1.0472,                0.19353,                0.67368,                0.25335,                0.14557,                 1.2497,                 4.4075,                 2.3053,             0.00078207,             0.00078207,             0.00078207
                      5,                0.58401,                 1.9362,                  1.016,                0.22188,                0.53605,                0.29592,                0.19709,                0.98574,                 3.4315,                 1.5546,             0.00093628,             0.00093628,             0.00093628
                      6,                0.60064,                 1.8913,                 1.0182,                0.19137,                  0.675,                0.27236,                0.18429,                 0.8543,                 3.1869,                 1.2644,              0.0010025,              0.0010025,              0.0010025
                      7,                0.60088,                 1.8565,                 1.0241,                0.17946,                0.71974,                0.31934,                0.20044,                 1.1851,                 3.7013,                 2.2971,              0.0010025,              0.0010025,              0.0010025
                      8,                0.53473,                 1.7595,                0.97502,                 0.3481,                0.40867,                0.39698,                0.29721,                 0.9853,                 2.6563,                 1.4735,               0.000953,               0.000953,               0.000953
                      9,                0.50682,                 1.6987,                0.98817,                0.23785,                0.62649,                0.32443,                0.23757,                 1.0411,                 2.8025,                 1.7158,              0.0009035,              0.0009035,              0.0009035
                     10,                0.53437,                 1.6454,                0.98878,                0.26881,                0.76908,                0.43334,                0.32328,                0.80479,                 2.3149,                 1.1785,               0.000854,               0.000854,               0.000854
                     11,                0.53159,                 1.5936,                0.99996,                0.34464,                0.75987,                0.43034,                0.32187,                0.77978,                 2.2516,                 1.1339,              0.0008045,              0.0008045,              0.0008045
                     12,                0.51259,                 1.5237,                0.96976,                0.30061,                0.77303,                0.41985,                0.29883,                  0.857,                 2.3763,                 1.2149,               0.000755,               0.000755,               0.000755
                     13,                0.48602,                 1.4565,                0.96341,                0.46068,                0.68354,                0.51308,                0.41017,                0.68331,                 2.1564,                0.99546,              0.0007055,              0.0007055,              0.0007055
                     14,                0.47022,                 1.4382,                0.96903,                0.46277,                0.58092,                0.49414,                0.40941,                0.65059,                 2.2804,                0.97568,               0.000656,               0.000656,               0.000656
                     15,                0.47416,                 1.4213,                0.95828,                 0.5376,                0.57429,                0.54406,                0.46232,                0.67834,                 2.0949,                 1.0025,              0.0006065,              0.0006065,              0.0006065
                     16,                0.51979,                 1.9682,                 1.0961,                 0.4347,                0.68487,                0.49608,                 0.4023,                0.69528,                 2.1556,                0.97219,               0.000557,               0.000557,               0.000557
                     17,                 0.4884,                 1.8048,                 1.0878,                0.52004,                0.63496,                0.51761,                0.43181,                0.67335,                 1.9987,                0.91844,              0.0005075,              0.0005075,              0.0005075
                     18,                0.42447,                 1.6599,                 1.0495,                0.44719,                  0.669,                0.57295,                0.50876,                0.50361,                 1.7593,                 0.7788,               0.000458,               0.000458,               0.000458
                     19,                 0.4003,                  1.622,                0.99695,                0.42588,                0.76382,                0.58257,                0.54244,                0.40602,                 1.7118,                0.69405,              0.0004085,              0.0004085,              0.0004085
                     20,                0.35935,                 1.5759,                0.98334,                 0.4256,                0.70789,                0.54234,                0.48787,                0.48412,                 1.7295,                0.74942,               0.000359,               0.000359,               0.000359
                     21,                0.35959,                 1.5054,                0.98695,                0.49417,                0.72171,                0.59902,                0.55128,                0.42286,                 1.6349,                0.70082,              0.0003095,              0.0003095,              0.0003095
                     22,                 0.3339,                 1.4931,                0.95795,                0.52922,                0.70987,                0.61393,                0.57197,                0.40735,                 1.5815,                0.67626,                0.00026,                0.00026,                0.00026
                     23,                 0.3258,                  1.436,                0.95974,                 0.4742,                0.82171,                0.56916,                 0.5259,                0.39688,                 1.6415,                0.65894,              0.0002105,              0.0002105,              0.0002105
                     24,                 0.3092,                 1.4467,                0.94826,                0.42757,                0.87877,                0.56451,                0.52073,                0.38572,                  1.619,                0.65415,               0.000161,               0.000161,               0.000161
                     25,                0.29759,                 1.4061,                0.93871,                0.41874,                0.88065,                0.56383,                0.52158,                0.38819,                 1.5719,                0.65662,              0.0001115,              0.0001115,              0.0001115
